el adelanto	progreso o mejoría; avance
apelar	recurrir al juez o tribunal superior para que revoque la sentencia dada por el inferior
la bioética	estudio de los problemas éticos que se derivan de la investigación biológica
la competencia	disputa o contienda entre dos o más personas sobre algo
concretar	precisar; reducir a lo más esencial
controvertido	que genera discusión y da lugar a opiniones contrarias
el criterio	juicio para discernir, clasificar o relacionar una cosa
el código ético	conjunto de normas morales
deber	tener que hacer algo; obligación
el derecho	justo, fundado, legítimo
establecer	ponerse a vivir de manera estable en un sitio
el estándar	que sirve como tipo, modelo, norma, patrón o referencia por ser corriente, de serie
evitar	impedir un daño o una molestia; impedir el encuentro con algo o alguien
la filosofía	ciencia que trata de la esencia, propiedades, causas y efectos de las cosas naturales
el fundamento	principio o cimiento en el que se apoya algo
