servir	to serve	serví	serviste	sirvió	servimos	sirvieron
pedir	to ask for; to order	pedí	pediste	pidió	pedimos	pidieron
mentir	to lie	mentí	mentiste	mintió	mentimos	mintieron
medir	to measure	medí	mediste	midió	medimos	midieron
preferir	to prefer	preferí	preferiste	prefirió	preferimos	prefirieron
seguir	to follow; to continue	seguí	seguiste	siguió	seguimos	siguieron
conseguir	to get; to obtain	conseguí	conseguiste	consiguió	conseguimos	consiguieron
repetir	to repeat	repetí	repetiste	repitió	repetimos	repitieron
dormir	to sleep	dormí	dormiste	durmió	dormimos	durmieron
morir	to die	morí	moriste	murió	morimos	murieron
divertirse	to have fun	me divertí	te divertiste	se divirtió	nos divertimos	se divirtieron
despedirse	to say goodbye	me despedí	te despediste	se despidió	nos despedimos	se despidieron
vestirse	to get dressed	me vestí	te vestiste	se vistió	nos vestimos	se vistieron
dormirse	to fall asleep	me dormí	te dormiste	se durmió	nos dormimos	se durmieron
traer	to bring	traje	trajiste	trajo	trajimos	trajeron
decir	to tell; to say	dije	dijiste	dijo	dijimos	dijeron
conducir	to drive	conduje	condujiste	condujo	condujimos	condujeron
traducir	to translate	traduje	tradujiste	tradujo	tradujimos	tradujeron
producir	to produce	produje	produjiste	produjo	produjimos	produjeron
estar	to be (temporary)	estuve	estuviste	estuvo	estuvimos	estuvieron
poner	to put; to set	puse	pusiste	puso	pusimos	pusieron
poder	to be able to; can	pude	pudiste	pudo	pudimos	pudieron
saber	to know (information)	supe	supiste	supo	supimos	supieron
tener	to have	tuve	tuviste	tuvo	tuvimos	tuvieron
obtener	to get; to obtain	obtuve	obtuviste	obtuvo	obtuvimos	obtuvieron
caber	to fit	cupe	cupiste	cupo	cupimos	cupieron
andar	to walk	anduve	anduviste	anduvo	anduvimos	anduvieron
querer	to want; to love	quise	quisiste	quiso	quisimos	quisieron
venir	to come	vine	viniste	vino	vinimos	vinieron
hacer	to do; to make	hice	hiciste	hizo	hicimos	hicieron
dar	to give	di	diste	dio	dimos	dieron
ver	to see	vi	viste	vio	vimos	vieron
aprender	to learn	aprendí	aprendiste	aprendió	aprendimos	aprendieron
asistir	to attend	asistí	asististe	asistió	asistimos	asistieron
borrar	to erase	borré	borraste	borró	borramos	borraron
buscar	to look for	busqué	buscaste	buscó	buscamos	buscaron
cocinar	to cook	cociné	cocinaste	cocinó	cocinamos	cocinaron
comer	to eat	comí	comiste	comió	comimos	comieron
comprender	to understand	comprendí	comprendiste	comprendió	comprendimos	comprendieron
correr	to run	corrí	corriste	corrió	corrimos	corrieron
creer	to believe	creí	creíste	creyó	creímos	creyeron
empezar	to start	empecé	empezaste	empezó	empezamos	empezaron
escribir	to write	escribí	escribiste	escribió	escribimos	escribieron
hablar	to talk	hablé	hablaste	habló	hablamos	hablaron
ir	to go	fui	fuiste	fue	fuimos	fueron
jugar	to play	jugué	jugaste	jugó	jugamos	jugaron
leer	to read	leí	leíste	leyó	leímos	leyeron
llevar	to wear/to bring	llevé	llevaste	llevó	llevamos	llevaron
mirar	to look	miré	miraste	miró	miramos	miraron
montar	to get on	monté	montaste	montó	montamos	montaron
nadar	to swim	nadé	nadaste	nadó	nadamos	nadaron
oír	to hear	oí	oíste	oyó	oímos	oyeron
pagar	to pay	pagué	pagaste	pagó	pagamos	pagaron
prestar	to lend	presté	prestaste	prestó	prestamos	prestaron
reducir	to reduce	reduje	redujiste	redujo	redujimos	redujeron
ser	to be	fui	fuiste	fue	fuimos	fueron
tocar	to touch/to play an instrument	toqué	tocaste	tocó	tocamos	tocaron
